Salesperson,ProductClass,Year,Month,Invoice,QtyInvoiced,NetSalesValue,TargetSales,CustomerClass
SM-JL,DVG,2023,1,10000063,12.0,460.8,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000063,6.0,230.4,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000063,6.0,243.0,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000063,24.0,720.0,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000063,12.0,360.0,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000063,12.0,360.0,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000063,12.0,360.0,334839.4709,CTRD-SD
SM-JL,TEA,2023,1,10000063,6.0,198.9,49211.125,CTRD-SD
SM-JL,TEA,2023,1,10000063,24.0,734.4,49211.125,CTRD-SD
SM-JL,TEA,2023,1,10000063,6.0,198.9,49211.125,CTRD-SD
SM-JL,TEA,2023,1,10000063,12.0,397.8,49211.125,CTRD-SD
SM-JL,DVG,2023,1,10000064,12.0,421.2,334839.4709,CTRD-HRC
SM-JL,DVG,2023,1,10000064,6.0,288.0,334839.4709,CTRD-HRC
SM-JL,DVG,2023,1,10000064,12.0,576.0,334839.4709,CTRD-HRC
SM-SC,TEA,2023,1,10000065,1.0,39.0,33564.625,CTRD-HRC
SM-SC,TEA,2023,1,10000065,1.0,120.0,33564.625,CTRD-HRC
SM-SC,TEA,2023,1,10000065,1.0,120.0,33564.625,CTRD-HRC
SM-SC,TEA,2023,1,10000065,1.0,190.0,33564.625,CTRD-HRC
SM-JL,DVG,2023,1,10000066,25.0,375.0,334839.4709,CTRD-HRC
SM-JL,DVG,2023,1,10000067,60.0,1800.0,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000067,60.0,1800.0,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000067,36.0,1080.0,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000067,12.0,360.0,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000067,6.0,180.0,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000067,60.0,2565.0,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000067,60.0,2925.0,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000067,15.0,731.25,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000067,15.0,742.5,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000067,9.0,425.25,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000067,12.0,450.0,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000067,80.0,3120.0,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000067,30.0,1080.0,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000067,20.0,1155.0,334839.4709,CTRD-SD
SM-JL,TEA,2023,1,10000067,12.0,1825.8,49211.125,CTRD-SD
SM-JL,DVG,2023,1,10000067,6.0,243.0,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000067,6.0,230.4,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000067,6.0,230.4,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000067,10.0,150.0,334839.4709,CTRD-SD
SM-SH,FG,2023,1,10000068,12.0,720.0,71500.0,CTRD-HRC
SM-JW,DVG,2023,1,10000069,3.0,90.0,387911.0545,CTRD-SD
SM-JW,DVG,2023,1,10000069,2.0,107.25,387911.0545,CTRD-SD
SM-JW,DVG,2023,1,10000069,6.0,180.0,387911.0545,CTRD-SD
SM-JW,DVG,2023,1,10000069,3.0,90.0,387911.0545,CTRD-SD
SM-JW,DVG,2023,1,10000069,3.0,108.0,387911.0545,CTRD-SD
SM-JW,ACC,2023,1,10000069,3.0,118.8,387911.0545,CTRD-SD
SM-JW,DVG,2023,1,10000069,2.0,60.0,387911.0545,CTRD-SD
SM-JW,DVG,2023,1,10000069,3.0,90.0,387911.0545,CTRD-SD
SM-JW,DVG,2023,1,10000069,3.0,90.0,387911.0545,CTRD-SD
SM-JW,DVG,2023,1,10000069,2.0,97.5,387911.0545,CTRD-SD
SM-JW,TEA,2023,1,10000069,2.0,78.0,3391.675,CTRD-SD
SM-JW,TEA,2023,1,10000069,2.0,85.5,3391.675,CTRD-SD
SM-JW,TEA,2023,1,10000069,2.0,85.5,3391.675,CTRD-SD
SM-JW,TEA,2023,1,10000069,2.0,85.5,3391.675,CTRD-SD
